Date,Period,hicp_ln,real,gamma_ln,real_3m,lev_ln,D_dc,D_zlb
1997Sep,1,435.2983949,,,,0.148964176,0,0
1997Oct,2,435.3755753,,,,0.154454973,0,0
1997Nov,3,435.4912342,,,,0.155104171,0,0
1997Dec,4,435.6195875,,,,0.159473155,0,0
1998Jan,5,435.7093368,,,,0.162702381,0,0
1998Feb,6,435.8630057,,,,0.167813776,0,0
1998Mar,7,435.9653206,,,,0.171243192,0,0
1998Apr,8,436.1441201,,,,0.173889952,0,0
1998May,9,436.3098625,,,,0.174595194,0,0
1998Jun,10,436.4244465,,,,0.178993508,0,0
1998Jul,11,436.462612,,,,0.190641443,0,0
1998Aug,12,436.6278278,,,,0.192057519,0,0
1998Sep,13,436.7547313,,,,0.193755551,0,0
1998Oct,14,436.8434681,,,,0.196516224,0,0
1998Nov,15,436.9068034,,,,0.201755199,0,0
1998Dec,16,436.9700985,,,,0.204072958,0,0
1999Jan,17,436.9700985,,,2.0321,0.199238418,0,0
1999Feb,18,437.0459998,,,1.9934,0.206746143,0,0
1999Mar,19,437.1850028,,,1.9467,0.210981699,0,0
1999Apr,20,437.298589,,,1.5965,0.212528611,0,0
1999May,21,437.3742415,,,1.479,0.217746454,0,0
1999Jun,22,437.4372416,,,1.5267,0.224737276,0,0
1999Jul,23,437.5757022,,,1.5765,0.227500278,0,0
1999Aug,24,437.6637137,,,1.595,0.229057423,0,0
1999Sep,25,437.6637137,,,1.6267,0.231928948,0,0
1999Oct,26,437.7767578,,,1.6757,0.233991359,0,0
1999Nov,27,437.9272846,,,1.7677,0.240321323,0,0
1999Dec,28,438.0024632,,,1.746,0.252221237,0,0
2000Jan,29,438.0275102,3.1,,1.4431,0.255141391,0,0
2000Feb,30,438.0775853,3.27,,1.6368,0.260237029,0,0
2000Mar,31,438.1276353,3.3,,1.847,0.26653416,0,0
2000Apr,32,438.1901627,3.17,,1.8253,0.271128374,0,0
2000May,33,438.2276603,3.46,,2.262,0.274640857,0,0
2000Jun,34,438.4024637,3.55,,2.4017,0.280042128,0,0
2000Jul,35,438.4274107,3.44,,2.2829,0.279491562,0,0
2000Aug,36,438.614315,3.58,,2.4771,0.282030656,0,0
2000Sep,37,438.7138547,3.57,,2.5528,0.294464047,0,0
2000Oct,38,438.8505601,3.94,,3.0413,0.299309086,0,0
2000Nov,39,439.0366759,3.98,,3.092,0.303196269,0,0
2000Dec,40,438.9746758,3.74,,2.9392,0.30739554,0,0
2001Jan,41,439.0242789,3.31,,2.4707,0.29523259,0,0
2001Feb,42,439.1481793,3.36,,2.4558,0.296863963,0,0
2001Mar,43,439.2842927,3.23,,2.4086,0.296168606,0,0
2001Apr,44,439.5189621,2.85,,1.982,0.297553244,0,0
2001May,45,439.6299294,2.89,,1.9367,0.296327923,0,0
2001Jun,46,439.826901,2.7,,1.7536,0.294600679,0,0
2001Jul,47,440.060302,2.78,,1.8671,0.293805708,0,0
2001Aug,48,440.2319338,2.72,,1.7535,0.291597022,0,0
2001Sep,49,440.4032715,2.46,,1.3829,0.289834567,0,0
2001Oct,50,440.6353327,3.07,,1.8999,0.289898995,0,0
2001Nov,51,440.8303358,2.94,,1.6857,0.285822111,0,0
2001Dec,52,441.0128065,2.96,,1.6449,0.273034658,0,0
2002Jan,53,441.4251782,2.57,,1.2388,0.279174759,0,0
2002Feb,54,441.6065677,2.71,,1.2571,0.280782071,0,0
2002Mar,55,441.7635062,2.81,,1.2908,0.282430025,0,0
2002Apr,56,441.8840608,2.82,,1.3069,0.283501196,0,0
2002May,57,442.0646206,2.86,,1.3671,0.284501655,0,0
2002Jun,58,442.2448549,2.78,,1.364,0.283715171,0,0
2002Jul,59,442.4726864,2.59,,1.21,0.2845072,0,0
2002Aug,60,442.5923896,2.44,,1.1519,0.283539854,0,0
2002Sep,61,442.7,2.32,,1.1101,0.282894018,0,0
2002Oct,62,442.8552332,2.62,,1.4613,0.282776864,0,0
2002Nov,63,443.0578675,2.56,,1.3241,0.278225532,0,0
2002Dec,64,443.1887654,2.41,,1.141,0.2816683,0,0
2003Jan,65,443.3194921,2.13,0.295341204,0.8318,0.283987385,0,0
2003Feb,66,443.4263234,2.05,0.294781768,0.6875,0.284475708,0,0
2003Mar,67,443.6159643,1.97,0.293257102,0.53,0.281165746,0,0
2003Apr,68,443.7461342,2.02,0.292679153,0.6333,0.279082433,0,0
2003May,69,443.8879446,1.94,0.290155717,0.5005,0.276077928,0,0
2003Jun,70,444.0177611,1.63,0.291352239,0.2519,0.277538557,0,0
2003Jul,71,444.1356301,1.5,0.284096384,0.13,0.27046956,0,0
2003Aug,72,444.2298253,1.57,0.281534695,0.1404,0.269176489,0,0
2003Sep,73,444.429696,1.51,0.283651035,0.1473,0.26973679,0,0
2003Oct,74,444.5470807,1.71,0.283263054,0.3436,0.269461477,0,0
2003Nov,75,444.6174454,1.64,0.28001143,0.359,0.267880561,0,0
2003Dec,76,444.746319,1.71,0.287008097,0.3463,0.275979614,0,0
2004Jan,77,445.0385972,1.65,0.286660265,0.2895,0.274050059,0,0
2004Feb,78,445.2718063,1.64,0.286352507,0.2705,0.274576531,0,0
2004Mar,79,445.3649378,1.58,0.287915176,0.2288,0.275501336,0,0
2004Apr,80,445.597388,1.32,0.290546111,-0.0512,0.27807733,0,0
2004May,81,445.6554162,1.32,0.289722242,-0.0141,0.277303244,0,0
2004Jun,82,445.8408805,1.29,0.291429357,0.0127,0.28094872,0,0
2004Jul,83,445.9566212,1.32,0.290721794,0.016,0.280035341,0,0
2004Aug,84,446.1299816,1.3,0.292932832,0.0143,0.282859088,0,0
2004Sep,85,446.2338537,1.31,0.29471918,0.0186,0.284017418,0,0
2004Oct,86,446.3145686,1.52,0.294807591,0.2473,0.28461345,0,0
2004Nov,87,446.4527856,1.5,0.296721076,0.2703,0.287807563,0,0
2004Dec,88,446.6137977,1.51,0.298292772,0.2732,0.28790052,0,0
2005Jan,89,446.7171688,1.46,0.299716027,0.2454,0.290089298,0,0
2005Feb,90,446.7630772,1.48,0.299327327,0.2383,0.291797489,0,0
2005Mar,91,446.9006761,1.48,0.300367,0.2372,0.291821297,0,0
2005Apr,92,446.9694046,1.24,0.300406366,0.0372,0.292991377,0,0
2005May,93,447.1181546,1.24,0.303538416,0.0256,0.296302278,0,0
2005Jun,94,447.1867339,1.19,0.309143054,0.011,0.302943447,0,0
2005Jul,95,447.2895147,1.11,0.308511383,-0.0806,0.302960566,0,0
